slug	url	raw_html_sha256	text_sha256	words	src_path
index	https://santoshkumaradhikari.com.np/investors-canon/	92e7388593e9a46a24472269eea1478cf6efc9da520514a4080a6d7f241947fe	b8e529794dec5728fcd118fcf98a2f3b93a3b4eee7aeaa66a4d29d68ab1a1bbb	1191	/home/user/canon-corpus-src/investors-canon/index.html
framework	https://santoshkumaradhikari.com.np/investors-canon/framework.html	a6fcbd3a979070dac8094db17e7ffe6fe72c9ad1737f2fcbd76664f6d5980aae	d2e7ff17b8c37c1c264977cf94ccea189ed8742bcdcad71c8baab697afbc1dd0	392	/home/user/canon-corpus-src/investors-canon/framework.html
ch-0-1-credit-cycle	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-0-1-credit-cycle.html	812af3430ccae73389190822b1f17053f26e131ef126be31c91e3cd9dd74fd8d	791672b594c0ebed2b42e028cd8df2b51be6602394c4177671876f0117651f5c	3167	/home/user/canon-corpus-src/investors-canon/chapters/ch-0-1-credit-cycle.html
ch-0-2-nrb-transmission	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-0-2-nrb-transmission.html	9c32c4a6b002fb7efbedf83dfa204b72f5d141d9ac68422269a1cb833c0fe46a	b15b1831c4cacc315e9cf3da37c3d3de2410952272e4dda7bd7de2d41873b100	3112	/home/user/canon-corpus-src/investors-canon/chapters/ch-0-2-nrb-transmission.html
ch-0-3-liquidity-regimes	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-0-3-liquidity-regimes.html	95ee34a089e0daea113fe541369ab28207ebcd40e6a95ab81e18f7a68b2aff38	b63c4969455376cdda23a5dc9c2109a5a46c272c79537c40f1bd0e2bfc984abe	3846	/home/user/canon-corpus-src/investors-canon/chapters/ch-0-3-liquidity-regimes.html
ch-01-nrb-monetary-policy	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-01-nrb-monetary-policy.html	b23925dc09630592714f49a7b859e86f777d8d51fb2eead91b8fb627b950df7d	ebf72ea6e8eec620ea503f1cc371eb40a33686b048e0c1f89cc102e8859795aa	5040	/home/user/canon-corpus-src/investors-canon/chapters/ch-01-nrb-monetary-policy.html
ch-02-credit-policy-impact	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-02-credit-policy-impact.html	88b02d6d1099af5fbc2c6f7036371e684b8904c00619f68fae2afdcbcadd73e6	73baec99e91cae13fd58aad7aac12302b930ddf4170a524a08bfe9be1583097e	6029	/home/user/canon-corpus-src/investors-canon/chapters/ch-02-credit-policy-impact.html
ch-03-nrb-policy-transmission	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-03-nrb-policy-transmission.html	06498edc0a057d47e01e516f10544a01b776507083e1d4a13a7b3e7748cf08cb	a97e7d2efb57e11ea2585e1baff731e40e0b45bad15816a85e12cd3a06700666	5623	/home/user/canon-corpus-src/investors-canon/chapters/ch-03-nrb-policy-transmission.html
ch-04-external-sector	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-04-external-sector.html	fd7f8e9916069c652f9a1fdea77ac9960aee06cb6577dc418b32128d347f3568	a4fa5f38cd119dea7915b23da23330d0825d9824d858108ef2dc84579115b33b	5948	/home/user/canon-corpus-src/investors-canon/chapters/ch-04-external-sector.html
ch-05-india-economy	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-05-india-economy.html	6834b3ba68d0553641003ebb860b3b546f2e708293aac45189e1287c5d8fe8a9	3d1500094bec2929604f7a58cb8d6b67df7eee32bfaa0bbe0bea98451966be14	5231	/home/user/canon-corpus-src/investors-canon/chapters/ch-05-india-economy.html
ch-06-global-macro-risk	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-06-global-macro-risk.html	56fa7d98e46c349dd5b9af78138f334b067fb36e383db2a9d6c4e1efbb7bb74b	da0c1c55d5e983ca53395fdbaa775306238f938dd62bfd8bd4e86984d5e06dc8	6261	/home/user/canon-corpus-src/investors-canon/chapters/ch-06-global-macro-risk.html
ch-07-nepse-reality	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-07-nepse-reality.html	8f44e6562a4fe78ab1cc645fdd00897618d1483923fa5a676ce2c5d81144dab0	b77d9629c55da1d28b827971019494c248b4fbaba00ec4a3d15f53bbab9b6e63	7512	/home/user/canon-corpus-src/investors-canon/chapters/ch-07-nepse-reality.html
ch-08-regulatory-architecture	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-08-regulatory-architecture.html	72d80eccd020309fed3a70410aab72da5e5dc5d9f5d783ed91e3e8e241e0d330	fc2247b7e3316393a84fe68d2a68354133dc7bf0e7efb120ca7a61821418f1d6	9550	/home/user/canon-corpus-src/investors-canon/chapters/ch-08-regulatory-architecture.html
ch-09-market-participants	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-09-market-participants.html	7d26f2da1e36945519ecf8d41cfd13afc52ba4b8c3f6ef10575f00b3aa3d6c1e	966bfa7ccc1c143aeeaee8f3224df31f291cf3d17ae0d76dd7ccb196c62d95eb	8812	/home/user/canon-corpus-src/investors-canon/chapters/ch-09-market-participants.html
ch-10-trading-mechanics	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-10-trading-mechanics.html	ea016ecc3ca47f934b8920acaffcb224318466b403cd2cfbfd0274f5eaceb2c2	b68e01677e4bb09f7f7afa8dba29624ad9f18625fc8c6d09627171b159806726	6586	/home/user/canon-corpus-src/investors-canon/chapters/ch-10-trading-mechanics.html
